stcc2,date,actual,pred_xgb,baseline_seasonal,baseline_persistence,n_train
30,2021-03-01,0.485275,0.34960097074508667,0.40421,0.377405,218
30,2021-04-01,0.43003,0.3781326115131378,0.27932,0.485275,219
30,2021-05-01,0.45613,0.4051513075828552,0.27132,0.43003,220
30,2021-06-01,0.456045,0.37414655089378357,0.37368,0.45613,221
30,2021-07-01,0.361515,0.44920894503593445,0.40356,0.456045,222
30,2021-08-01,0.44722,0.41933438181877136,0.47468,0.361515,223
30,2021-09-01,0.41702,0.4491369426250458,0.449444,0.44722,224
30,2021-10-01,0.42653,0.4135078489780426,0.43248,0.41702,225
30,2021-11-01,0.477085,0.4250548779964447,0.50312,0.42653,226
30,2021-12-01,0.43557,0.447810560464859,0.4198,0.477085,227
30,2022-01-01,0.42831,0.36064615845680237,0.40202,0.43557,228
30,2022-02-01,0.43281,0.4209555983543396,0.377405,0.42831,229
30,2022-03-01,0.43582,0.44008809328079224,0.485275,0.43281,230
30,2022-04-01,0.41455,0.4370391368865967,0.43003,0.43582,231
30,2022-05-01,0.48728,0.4249325692653656,0.45613,0.41455,232
30,2022-06-01,0.417905,0.42948395013809204,0.456045,0.48728,233
30,2022-07-01,0.36005,0.4504051208496094,0.361515,0.417905,234
30,2022-08-01,0.421685,0.433504194021225,0.44722,0.36005,235
30,2022-09-01,0.35888,0.4424815773963928,0.41702,0.421685,236
30,2022-10-01,0.43147,0.39151352643966675,0.42653,0.35888,237
30,2022-11-01,0.37597,0.434171199798584,0.477085,0.43147,238
30,2022-12-01,0.352855,0.4089288115501404,0.43557,0.37597,239
30,2023-01-01,0.367895,0.4030621647834778,0.42831,0.352855,240
30,2023-02-01,0.352205,0.3935840129852295,0.43281,0.367895,241
30,2023-03-01,0.38408,0.36648327112197876,0.43582,0.352205,242
30,2023-04-01,0.330345,0.3713705241680145,0.41455,0.38408,243
30,2023-05-01,0.35333,0.34740275144577026,0.48728,0.330345,244
30,2023-06-01,0.36953,0.38174545764923096,0.417905,0.35333,245
30,2023-07-01,0.3898,0.3720208406448364,0.36005,0.36953,246
30,2023-08-01,0.349065,0.3751049339771271,0.421685,0.3898,247
30,2023-09-01,0.338135,0.3935059607028961,0.35888,0.349065,248
30,2023-10-01,0.453325,0.3669896423816681,0.43147,0.338135,249
30,2023-11-01,0.35115,0.364311546087265,0.37597,0.453325,250
30,2023-12-01,0.306945,0.3754938840866089,0.352855,0.35115,251
30,2024-01-01,0.2254,0.32007893919944763,0.367895,0.306945,252
30,2024-02-01,0.33871,0.30769264698028564,0.352205,0.2254,253
30,2024-03-01,0.338145,0.33091840147972107,0.38408,0.33871,254
30,2024-04-01,0.343895,0.3453228175640106,0.330345,0.338145,255
30,2024-05-01,0.310835,0.3473210036754608,0.35333,0.343895,256
30,2024-06-01,0.286035,0.32292822003364563,0.36953,0.310835,257
30,2024-07-01,0.31588,0.28685542941093445,0.3898,0.286035,258
30,2024-08-01,0.353565,0.33101823925971985,0.349065,0.31588,259
30,2024-09-01,0.26838,0.3748984932899475,0.338135,0.353565,260
30,2024-10-01,0.325085,0.3533504903316498,0.453325,0.26838,261
30,2024-11-01,0.33186,0.321515828371048,0.35115,0.325085,262
30,2024-12-01,0.292795,0.312237411737442,0.306945,0.33186,263
32,2019-01-01,3.53475,3.542461395263672,3.659968,3.699845,192
32,2019-02-01,3.425407,3.4869484901428223,3.505828,3.53475,193
32,2019-03-01,4.124677,4.014054775238037,3.935727,3.425407,194
32,2019-04-01,4.13718,4.305138111114502,4.455961,4.124677,195
32,2019-05-01,4.581111,4.467629432678223,4.981668,4.13718,196
32,2019-06-01,4.367557,4.399471759796143,4.738617,4.581111,197
32,2019-07-01,4.846566,4.583889961242676,4.848759,4.367557,198
32,2019-08-01,5.256184,4.721604824066162,4.756638,4.846566,199
32,2019-09-01,4.554571,4.394555568695068,4.174005,5.256184,200
32,2019-10-01,4.95108,4.672013282775879,4.533049,4.554571,201
32,2019-11-01,4.304976,4.220059394836426,4.114134,4.95108,202
32,2019-12-01,3.922548,4.055325984954834,3.699845,4.304976,203
32,2020-01-01,4.181209,3.7562716007232666,3.53475,3.922548,204
32,2020-02-01,3.606365,3.609511375427246,3.425407,4.181209,205
32,2020-03-01,4.219276,3.912358522415161,4.124677,3.606365,206
32,2020-04-01,4.017535,4.231640815734863,4.13718,4.219276,207
32,2020-05-01,4.12316,4.453534126281738,4.581111,4.017535,208
32,2020-06-01,4.307849,4.276552200317383,4.367557,4.12316,209
32,2020-07-01,4.606572,4.573867321014404,4.846566,4.307849,210
32,2020-08-01,4.330279,4.499074459075928,5.256184,4.606572,211
32,2020-09-01,4.653314,4.583603382110596,4.554571,4.330279,212
32,2020-10-01,4.770568,4.592731475830078,4.95108,4.653314,213
32,2020-11-01,4.484423,4.323962211608887,4.304976,4.770568,214
32,2020-12-01,3.807214,4.198444366455078,3.922548,4.484423,215
32,2021-01-01,3.99157,3.920435905456543,4.181209,3.807214,216
32,2021-02-01,3.62147,3.714019298553467,3.606365,3.99157,217
